winner_name,winner_age,winner_nationality,loser_name,loser_age,loser_nationality,winner_sets_won,loser_sets_won,winner_games_won,loser_games_won,
Daniil Medvedev,25,Russian,Dudi Sela,36,Israeli,2,1,17,14,
Roberto Bautista Agut,33,Spanish,Mikhail Youzhny,39,Russian,2,1,14,14,
Dudi Sela,36,Israeli,Albert Ramos-Vinolas,33,Spanish,2,0,13,9,
Benoit Paire,32,French,Aljaz Bedene,32,Slovenian,2,0,12,3,
Daniil Medvedev,25,Russian,Jozef Kovalik,28,Slovak,2,0,12,5,
Jozef Kovalik,28,Slovak,Marin Cilic,33,Croatian,2,1,19,18,
Roberto Bautista Agut,33,Spanish,Rogerio Dutra Silva,33,Spanish,2,0,12,5,
Albert Ramos-Vinolas,33,Spanish,Steve Darcis,37,Belgian,2,0,12,2,
Aljaz Bedene,32,Slovenian,Martin Klizan,32,Slovak,2,1,20,19,
Benoit Paire,32,French,Yuki Bhambri,29,Indian,2,0,12,7,
Mikhail Youzhny,39,Russian,Renzo Olivo,29,Argentine,2,0,13,6,
Daniil Medvedev,25,Russian,Yen-Hsun Lu,38,Taiwanese,2,0,12,7,
Dudi Sela,36,Israeli,Hyeon Chung,25,South Korean,2,0,12,4,
Benoit Paire,32,French,Konstantin Kravchuk,36,Russian,2,0,12,7,
Hyeon Chung,25,South Korean,Borna Coric,24,Croatian,2,0,13,8,
Mikhail Youzhny,39,Russian,Saketh Myneni,33,Indian,2,0,12,7,
Yen-Hsun Lu,38,Taiwanese,Radu Albot,31,Moldovan,2,0,12,3,
Aljaz Bedene,32,Slovenian,Guillermo Garcia-Lopez,38,Spanish,2,0,12,6,
Yuki Bhambri,29,Indian,Ramkumar Ramanathan,26,Indian,2,0,12,2,
Steve Darcis,37,Belgian,Nikola Mektic,32,Croatian,2,0,12,5,
Rogerio Dutra Silva,33,Spanish,Dusan Lajovic,31,Serbian,2,1,18,18,
Jozef Kovalik,28,Slovak,Gastao Elias,30,Portugese,2,1,18,13,
Daniil Medvedev,25,Russian,Thiago Monteiro,27,Brazilian,2,0,12,6,
Renzo Olivo,29,Argentine,Casper Ruud,22,Norwegian,2,0,13,8,
Dudi Sela,36,Israeli,Damir Dzumhur,29,Bosnian,2,0,12,4,
Hyeon Chung,25,South Korean,Jurgen Melzer,40,Austrian,2,0,13,6,
Yuki Bhambri,29,Indian,Nicolas Kicker,29,Argentine,2,0,12,4,
Jozef Kovalik,28,Slovak,Prajnesh Gunneswaran,31,Indian,2,0,13,8,
Nikola Mektic,32,Croatian,Marco Trungelliti,31,Argentine,2,0,13,7,
Hyeon Chung,25,South Korean,Miljan Zekic,33,Serbian,2,0,12,4,
Nicolas Kicker,29,Argentine,Sasi Kumar Mukund,24,Indian,2,1,19,15,
Jozef Kovalik,28,Slovak,Franko Skugor,34,Croatian,2,0,12,7,
Marco Trungelliti,31,Argentine,Alessandro Bega,30,Italian,2,0,12,4,
Jurgen Melzer,40,Austrian,Steven Diez,30,Canadian,2,0,12,2,
Prajnesh Gunneswaran,31,Indian,Hiroki Moriya,30,Japanese,2,0,12,5,
Nikola Mektic,32,Croatian,Federico Gaio,29,Italian,2,0,12,3,
Yuki Bhambri,29,Indian,Marco Cecchinato,29,Italian,2,0,13,6,
Roberto Bautista Agut,33,Spanish,Daniil Medvedev,25,Russian,2,0,12,7,
Roberto Bautista Agut,33,Spanish,Benoit Paire,32,French,2,0,12,6,